,terms,titles,pageids
49,musical film,"['Musical film', 'High School Musical', 'High School Musical (franchise)', 'Musical theatre', 'High School Musical 3: Senior Year', 'List of High School Musical characters', 'Cannibal! The Musical', 'List of musical films by year', 'High School Musical 2', 'Coco (2017 musical film)', 'Naked (2013 film)', 'Camp Blood: The Musical', 'Scrooge (musical)', 'Autism: The Musical', 'Dreamgirls (film)', 'Burlesque (2010 American film)', 'Alice in Wonderland (1976 film)', 'Billy Elliot the Musical Live', 'Flashdance the Musical', 'Evolution: The Musical!', 'Musical Chairs (film)', 'Jukebox musical', 'Colma: The Musical', 'Musical short', 'The First Nudie Musical', 'Nine (musical)', 'Roustabout (film)', 'Rosalie (musical)', 'Emo the Musical', 'Little Shop of Horrors (musical)']","['2212695', '9031647', '44334882', '24473950', '5991239', '527414', '49208924', '15703651', '3825963', '50885634', '20401025', '22091671', '3463364', '19958663', '4006786', '9391085', '6165282', '22857478', '3508629', '3447162', '35208949', '19029', '17916952', '20572', '41985869', '3119157', '3731183', '537101', '20941820', '1970748']"
50,romance film,"['Romance film', 'Romance', 'True Romance', 'Romance (1999 film)', 'Romance (1930 film)', 'Office Romance', 'A Moment of Romance', 'Gothic romance film', 'Modern Romance (film)', 'A Moment of Romance II', 'Romance (1920 film)', 'A Facebook Romance', 'Romance of the Western Chamber (film)', 'Bad Romance (film)', 'Wild Romance (2006 film)', 'Romance novel', 'Romance on Film, Romance on Broadway', ""Tillie's Punctured Romance (1928 film)"", ""Tillie's Punctured Romance (1914 film)"", 'Romance (1983 film)', 'Romantic comedy film', 'Romance & Cigarettes', 'Romance sentimentale', 'Romance (guitar piece)', 'Bad Romance', 'A Romance of Happy Valley', 'Romance in Manhattan', 'Viviane Romance', 'Thrill of a Romance', 'Paranormal romance']","['44711439', '10473518', '44946486', '14862528', '24551395', '42493438', '48222033', '3161156', '6822795', '2306844', '228460', '2229894', '27006878', '177731', '35883214', '569867', '7438979', '522822', '5128035', '293632', '24840391', '31718555', '25923350', '25531', '24837554', '238484', '12548324', '441315', '1331068', '44281129']"
51,science fiction and fantasy film,"['Science fantasy', 'Science fiction', 'Outline of science fiction', 'History of science fiction films', 'Fantasy', 'Science Fiction Fantasy Short Film Festival', 'Museum of Pop Culture', 'Fantasy fiction magazine', 'LGBT themes in speculative fiction', 'Fantasy film', 'Science fiction on television', 'History of science fiction', 'Fantasy literature', 'Definitions of science fiction', 'Science fiction convention', 'Sex and sexuality in speculative fiction', 'Black science fiction', 'Soft science fiction', 'Social science fiction', 'Science fiction opera', 'Weapons in science fiction', 'Feminist science fiction', 'Speculative fiction', 'Gender in speculative fiction', 'Saturn Award for Best Actress', 'Science Fiction Studies', 'Military science fiction', 'Supernatural fiction', 'Planets in science fiction', 'Science fiction studies']","['11228343', '8239833', '23534170', '2722014', '11741', '978740', '11257', '9002010', '3387802', '2453923', '712215', '306754', '102346', '31984837', '87916', '484842', '25560111', '3057610', '300649', '26787', '395191', '27608', '2818621', '9318072', '106004', '2102985', '25802489', '155690', '1444250', '335111']"
52,"thriller, crime and mystery film","['Crime film', 'Thriller film', 'Crime fiction', 'Mystery film', 'Erotic thriller', 'International Thriller Writers', 'Giallo', 'Libby Fischer Hellmann', 'Outline of film', 'Action film', 'Comedy film', 'Motherless Brooklyn']","['43564', '5644', '86025', '408001', '6738206', '1758267', '1772053', '22270448', '2421009', '540763', '6599447', '28148882']"
53,music and audio,"['Audio engineer', 'Digital audio', 'Audio file format', 'Institute of Audio Research', 'Music visualization', 'Audio mixing', 'Digital audio workstation', 'Audio editing software', 'Compact Disc Digital Audio', 'Professional audio', 'Online music store', 'Audio game', 'Advanced Audio Coding', 'AudioMulch', 'Audio over IP', 'RealAudio', 'Audio mastering', 'Valve audio amplifier', 'Portable media player', 'MP3', '3D audio effect', 'Audio frequency', 'Audio filter', 'Audio bit depth', 'Audio search engine', 'PulseAudio', 'Comparison of audio synthesis environments', 'Dynamic range compression', 'GraphicAudio', 'Compact Cassette']","['920583', '218247', '8974641', '7310614', '437887', '21189305', '2316', '370157', '344142', '501550', '254878', '156549', '13771799', '14064991', '65880', '41920', '9530029', '53712', '431270', '262733', '6456373', '23268532', '19673', '2785121', '343585', '1560437', '4037385', '5398006', '59222', '4689286']"
54,CD and audio shopping,"['Video CD', 'DIY audio', 'TurboGrafx-16', 'Compact Cassette', 'Professional audio store', 'Music store', 'Online music store', 'Audiophile', 'Luxman', 'Aiwa', 'Nakamichi', 'In Private', 'KINK', 'Satanstornade', 'New Series Adventures', 'Format', 'Now Smash Hits', 'Media Go', 'Windows Media Player', 'Kassetten', 'The Snake the Cross the Crown', 'Backing track', 'Media in Atlanta', 'Memorex', 'Betamax']","['306127', '145372', '7634770', '188578', '65880', '1543032', '153904', '9873242', '4881830', '15278786', '9328741', '23152842', '5391758', '2213822', '3859329', '306113', '2950964', '9603262', '343585', '49278562', '9203921', '13041866', '31268', '42803', '43941']"
55,classical music,"['Classical music blog', 'Historical classical music recordings', 'Classical guitar repertoire', 'Crossover music', 'Classical music written in collaboration', 'Music of Venice', 'BBC Music Magazine', 'Grammy Award for Best Classical Compendium', 'Development of Carnatic music', 'Classical 24', 'Women in classical music', 'Music of Myanmar', 'Musical composition', 'Haridasas and Carnatic music', 'Music venue', 'Electronic music', 'Music criticism']","['5679076', '3883117', '30872999', '14674505', '23251909', '547533', '1401333', '9510', '36109807', '13304372', '24039180', '5759648', '987266', '3908340', '2409546', '47962', '52201111']"
56,country music,"['Country Music Association Awards', 'Buried Country', 'CMT Music Awards', 'Country rap', 'Classic country', 'Neotraditional country', 'Country Radio Broadcasters']","['20011682', '16942396', '1414742', '1666748', '7011482', '1939208', '3083752']"
57,dance and electronic music,"['Electronic dance music', 'Electronic musical instrument', 'Live electronic music', 'Electronics in rock music', 'Street dance', 'Assyrian folk dance', 'Progressive music', 'Rave', 'Rave music', 'Italo dance', 'Electronic drum', 'Electronicore', 'Ambient music', 'Space music', 'Electronic art', 'Detroit Electronic Music Archive', 'Acid house', 'Qwartz Electronic Music Awards']","['23275589', '55319', '4269893', '2133928', '383728', '2924002', '1437688', '10006', '31568852', '16727290', '11909203', '20263821', '24501', '17767149', '43488', '211805', '2148134', '370716']"
58,experimental and industrial music,"['Neofolk', 'Industrial hip hop', 'Industrial rock', 'Experimental hip hop', 'Ambient music', 'Experimental psychology', 'Downtown music', 'Electronic music', 'Music sequencer', 'Rave music', 'Furniture music', 'The Synthetic Dream Foundation', 'Electronica', 'Metropolis Records', 'Die Krupps', 'Hip hop music', 'Music psychology', 'Sky Records', 'Music festival', 'Koyi k utho', 'Nervous Gender', 'Steelwork Maschine', 'Music of Seattle', 'Testube', 'Digital Poodle', 'Latent Anxiety', 'Contemporary folk music', 'Transmission Communications', 'Heavy metal music', 'Popular music of Birmingham']","['55319', '12000337', '1429896', '15229367', '487233', '9510', '87606', '20880933', '364299', '2037363', '13869', '18945847', '16994945', '125889', '6610469', '31004792', '772521', '7504750', '8345281', '4390344', '127510', '1297336', '364146', '40842579', '211805', '13626776', '26492196', '28029979', '36739571', '9927095']"
59,folk and traditional music,"['Folk music', 'Contemporary folk music', 'Folk rock', 'Traditional Gaelic music', 'Industrial folk music', 'Moravian traditional music', 'Electric folk', 'Roots revival', 'Folk club', 'Folk jazz', 'Music of Myanmar', 'Slovak folk music', 'Neofolk', 'Folk instrument', 'Archive of Folk Culture']","['1469495', '12000337', '1289122', '1138266', '1863359', '5207691', '10623', '168377', '1099681', '21399279', '987266', '1297336', '172540', '20046002', '26308665']"
60,jazz and blue,"['Jazz band', 'Jazz royalty', 'Jazz Messengers discography', 'Jazz Mandolin Project', 'Soul jazz', 'Jazz bass', 'Blue Note Recordings', 'Blue', 'Cheltenham Jazz Festival', 'Mills Blue Rhythm Band']","['4543', '38825324', '7390108', '3881963', '43777039', '54409', '1126518', '552773', '810541', '264343']"
61,blue,"['Blue', 'Shades of blue', 'Blue cheese', 'Blue whale', 'Air Force blue', 'Midnight blue', 'Prussian blue', 'Blue Ridge Mountains', 'Steel blue', 'Trypan blue', 'Blue moon', 'Ateneo Blue Eagles', 'Blue book', 'Blue straggler', 'Duke Blue Devils', 'Blue ribbon', 'Methylene blue', 'Blue shark', 'Blue swallow', 'Nile blue', 'Blue law', 'Great blue heron', 'Brilliant Blue FCF', 'Blue baby syndrome', 'Eurasian blue tit', 'Powder blue', 'Blue Button', 'Blue Panther', 'Blue supergiant star']","['11765254', '5610762', '4543', '34899711', '3767911', '462535', '729431', '1845300', '926863', '3359', '316038', '794969', '240920', '207397', '288220', '3686223', '4925', '1922808', '2435721', '247969', '198509', '238790', '1960640', '1574340', '605784', '182765', '28090940', '1979958', '2624345']"
62,jazz,"['Jazz piano', 'Jazz standard', 'Soul jazz', 'Jazz band', 'Vocal jazz', 'Jazz guitarist', 'Cape jazz', 'Folk jazz', 'The Penguin Guide to Jazz', 'Jazz guitar', 'Jazz bass', 'Jazz improvisation', 'Jazz royalty', 'Beaches International Jazz Festival', 'Modal jazz', 'Jazz hands', 'Horn in jazz', 'Jazz poetry', 'Women in jazz', 'Jazz chord', 'Jazz Messengers discography', 'Fender Jazz Bass V']","['30874534', '6705258', '29379861', '5207691', '35611692', '43777039', '54409', '1126518', '1995307', '16141', '11900812', '2851170', '8760501', '1992406', '2527136', '552773', '250056', '63106', '264343', '7910935', '3029672', '33194272']"
63,music art and memorabilia,"['Fender Music Foundation', 'Souvenir', 'Rock art', 'Museum of Pop Culture', 'Falling A Records', 'Pink Palace Museum and Planetarium', 'O Street Museum Foundation', 'National Film and Sound Archive', 'College of Piping', 'Constellation Me', 'Stetson University', 'The Pre New']","['17962544', '34009844', '1128814', '16934290', '102346', '6744757', '29275460', '15301677', '928469', '937531', '169909', '45646350']"
64,music education and instruction,"['Music education', 'Music school', 'Special education', 'Music education for young children', 'Continuing education', 'Distance education', 'Midwest Program on Airborne Television Instruction', 'Index of education articles', 'Berklee College of Music', 'Female education', 'Blindness and education', 'Moores School of Music', 'Women in music education', 'Waldorf education', 'Vocational education', 'Bienen School of Music', 'Music', 'Jewish education', 'Powers Music School', 'Women in music', 'Colored music notation', 'Tanglewood Symposium', 'Prague Conservatory', 'History of education', 'Hull House Music School', 'Music software', 'The Hands for Music Foundation', 'Music therapy', 'Video game music']","['486112', '4174423', '571026', '8284946', '693567', '8997', '9384153', '2061136', '49184924', '1739041', '4784969', '12322936', '8107605', '18839', '2025792', '5405045', '24782280', '12987827', '217662', '15363758', '6248732', '436831', '20842244', '50023141', '350752', '56551', '6711330', '47988234', '49733681']"
65,music equipment and technology,"['Industrial technology', 'Information technology', 'Music on hold', 'Health technology', 'Military technology', 'Assistive technology', 'Low technology', 'MusicRadar', 'Sound recording and reproduction', 'Appropriate technology', 'Music workstation', 'Digital audio', 'Changchun University of Science and Technology', 'Audio engineer', 'Energy technology', 'Music education', 'Cork Institute of Technology', 'Music psychology', 'Video game music', 'Open source appropriate technology', 'Music industry', 'Electronics', 'Technology doping', 'Domestic technology', 'Brooklyn College Center for Computer Music', 'Electronics in rock music', 'Popular music', 'Dashtop mobile', 'Music video', 'Record producer']","['190450', '653', '21189305', '28207659', '20876184', '542603', '12347719', '53712', '79425', '9663', '16727290', '20122770', '3255966', '7796225', '36674345', '1721135', '90815', '16069965', '2025792', '1946204', '1898660', '4390344', '90138', '307119', '27352320', '24297671', '53207', '2417230', '31240382', '350752']"
66,DJ resource and equipment,"['Submarine Escape Immersion Equipment', 'ISO 690', 'Remote broadcast', 'Hip hop', 'Electronic dance music', 'Colon cleansing', 'Sound reinforcement system', 'Dub music', 'WXDU', 'Global Inheritance', 'Extended technique', 'NIH Toolbox', 'Talent agent', 'Phonograph', 'Sir Syed University of Engineering and Technology', 'Z Nation', 'Isobaric counterdiffusion', '35th Fighter Wing', 'Carotid artery stenosis', 'Hyperthermia', 'Needle exchange programme', 'Eye movement in music reading', 'Fish processing', 'Medical imaging', 'Packet switching', 'Jeypore', 'Internet Archive', 'J Dilla', 'Submarine', 'Digital audio workstation']","['5729857', '2785255', '19139792', '431270', '183304', '2924002', '410014', '8128722', '11967708', '27852346', '2632114', '75654', '1128564', '176931', '17720496', '30860874', '1191081', '234714', '38387863', '320340', '43339', '24471', '978035', '1021537', '764380', '28825', '9976299', '2067198', '964090', '43188033']"
67,music recording technology,"['Sound recording and reproduction', 'Multitrack recording', 'Field recording', 'Music technology', 'Music industry', 'Audio Home Recording Act', 'Audio engineer', 'Optical disc recording technologies', 'National Recording Registry', 'Computer music', 'Record producer', 'Wire recording', 'Music sequencer', 'Tape recorder', 'Comparison of analog and digital recording', 'Music download', 'Music on hold', 'Remote recording', 'Studio D Recording', 'Binaural recording', 'Free music', 'Bachelor of Music', 'Technology and society', 'Popular music', 'History of multitrack recording', 'Music', 'Universal Audio', 'Ethics of technology', 'Dummy head recording', 'Ambient music']","['55319', '1597125', '21189305', '444734', '102676', '156859', '6974', '2330675', '699052', '2495244', '144634', '9703269', '255133', '18839', '797714', '1946204', '1898660', '127510', '49182501', '5118050', '3728036', '24297671', '53207', '32358309', '2417230', '43614132', '70912', '30862857', '17009099', '396056']"
68,musical instrument,"['Musical instrument', 'Electronic musical instrument', 'Experimental musical instrument', 'String instrument', 'Transposing instrument', 'Brass instrument', 'KHS Musical Instruments', 'Instrument', 'Musical instrument classification', 'Musical saw', 'Folk instrument', 'Kawai Musical Instruments', 'Musical keyboard', 'Wind instrument', 'Conservation and restoration of musical instruments', 'Kazakh Museum of Folk Musical Instruments', 'Whirly tube', 'Institute of Musical Instrument Technology', 'Immersive virtual musical instrument', 'Xylophone', 'Recording studio as musical instrument', 'Woodwind instrument', 'Bell', 'New Interfaces for Musical Expression', 'Air instrument', 'Bamboo musical instruments', 'Drum']","['20390377', '35602113', '761242', '4940', '45540952', '7950', '10006', '6890038', '1863359', '31036887', '23686350', '23701314', '13762642', '612681', '35587575', '27406894', '101900', '20816', '19995', '2127374', '54547190', '50076', '56886', '28450531', '23442958', '33882', '52867']"
